,사고건수,사망자수,부상자수
0시~2시,91,2,104
2시~4시,47,0,47
4시~6시,28,2,30
6시~8시,52,1,57
8시~10시,135,2,141
10시~12시,122,1,136
12시~14시,142,0,160
14시~16시,185,3,195
16시~18시,250,0,275
18시~20시,247,0,279
20시~22시,204,5,217
22시~24시,232,3,260
