,사고건수,사망자수,부상자수
0시~2시,15,0,17
2시~4시,4,0,4
4시~6시,8,0,8
6시~8시,13,0,13
8시~10시,35,1,34
10시~12시,12,0,14
12시~14시,14,0,15
14시~16시,21,1,23
16시~18시,23,0,25
18시~20시,27,1,27
20시~22시,29,0,33
22시~24시,24,1,25
