,사고건수,사망자수,부상자수
0시~2시,23,0,24
2시~4시,14,0,14
4시~6시,12,0,14
6시~8시,29,2,27
8시~10시,56,1,59
10시~12시,40,0,41
12시~14시,31,0,32
14시~16시,44,1,44
16시~18시,53,0,61
18시~20시,59,1,63
20시~22시,47,1,48
22시~24시,39,2,46
