,사고건수,사망자수,부상자수
0시~2시,6,1,5
2시~4시,8,1,7
4시~6시,1,0,1
6시~8시,7,0,7
8시~10시,20,0,20
10시~12시,10,0,11
12시~14시,6,0,6
14시~16시,10,1,9
16시~18시,8,0,11
18시~20시,15,0,18
20시~22시,13,1,15
22시~24시,13,0,14
