,사고건수,사망자수,부상자수
0시~2시,72,0,83
2시~4시,36,0,39
4시~6시,18,0,20
6시~8시,41,1,44
8시~10시,81,0,92
10시~12시,48,1,51
12시~14시,72,1,75
14시~16시,77,3,80
16시~18시,124,1,145
18시~20시,121,0,134
20시~22시,114,3,120
22시~24시,93,0,102
