법규위반,사고건수,사망자수,부상자수
중앙선침범,8,0,10
신호위반,4,0,5
안전거리미확보,3,1,2
일시정지위반,1,0,1
부당한회전,1,0,1
안전운전의무불이행,82,3,83
교차로운행방법위반,6,0,8
보행자보호의무위반,3,0,4
직진우회전진행방해,1,0,1
