법규위반,사고건수,사망자수,부상자수
앞지르기금지위반,1,0,1
중앙선침범,15,0,16
신호위반,28,2,29
안전거리미확보,4,0,4
부당한회전,6,0,7
우선권양보불이행,1,0,1
안전운전의무불이행,143,2,152
교차로운행방법위반,3,0,3
보행자보호의무위반,2,0,2
차로위반(진로변경),2,0,2
직진우회전진행방해,5,0,6
