법규위반,사고건수,사망자수,부상자수
앞지르기방법위반,1,0,1
중앙선침범,28,0,31
신호위반,42,1,46
안전거리미확보,9,0,10
일시정지위반,1,0,1
부당한회전,14,0,16
안전운전의무불이행,265,7,274
교차로운행방법위반,24,0,28
보행자보호의무위반,6,0,6
차로위반(진로변경),1,0,1
직진우회전진행방해,10,0,11
