,사고건수,사망자수,부상자수
01월,55,1,60
02월,51,2,56
03월,133,1,143
04월,173,0,201
05월,166,0,186
06월,167,2,179
07월,186,2,199
08월,181,1,197
09월,184,2,206
10월,174,4,189
11월,152,2,164
12월,113,2,121
