,사고건수,사망자수,부상자수
01월,8,0,8
02월,8,0,8
03월,3,0,3
04월,16,0,20
05월,15,0,15
06월,17,0,18
07월,33,0,33
08월,28,2,28
09월,34,2,33
10월,23,0,27
11월,19,0,19
12월,21,0,26
