,사고건수,사망자수,부상자수
01월,22,0,27
02월,36,1,36
03월,31,0,36
04월,56,1,63
05월,67,0,77
06월,63,1,68
07월,98,1,103
08월,86,0,96
09월,109,0,120
10월,163,4,184
11월,110,2,116
12월,56,0,59
