,20세이하,21~30세,31~40세,41~50세,51~60세,61~64세,65세이상
01월,6,6,5,3,3,1,3
02월,5,12,7,6,6,0,0
03월,4,10,8,10,2,2,0
04월,9,25,11,2,5,4,6
05월,13,27,18,10,5,0,4
06월,10,23,16,8,2,3,5
07월,29,36,19,6,7,4,1
08월,23,34,15,12,9,0,3
09월,30,50,13,14,5,1,5
10월,67,51,35,17,8,4,2
11월,29,47,15,15,5,0,4
12월,19,17,14,6,2,0,1
