,20세이하,21~30세,31~40세,41~50세,51~60세,61~64세,65세이상
01월,11,18,14,4,4,1,3
02월,15,17,7,6,4,0,2
03월,56,33,20,12,6,3,0
04월,79,49,21,8,8,1,3
05월,69,46,22,15,2,0,10
06월,58,54,22,14,8,1,8
07월,59,70,25,15,13,2,1
08월,63,62,15,13,11,3,7
09월,62,65,24,15,9,1,7
10월,65,54,16,15,10,3,9
11월,47,55,24,12,4,1,6
12월,44,32,8,9,10,3,6
