,20세이하,21~30세,31~40세,41~50세,51~60세,61~64세,65세이상
01월,11,22,14,4,5,1,3
02월,19,18,7,7,3,0,2
03월,64,33,23,12,6,2,0
04월,92,56,23,9,12,1,4
05월,83,48,25,15,2,0,11
06월,63,58,25,13,9,1,8
07월,65,77,27,15,12,1,1
08월,73,68,16,12,11,3,7
09월,69,68,32,17,9,1,9
10월,73,59,17,17,10,2,9
11월,50,62,23,15,5,1,5
12월,48,35,7,10,10,3,7
