,20세이하,21~30세,31~40세,41~50세,51~60세,61~64세,65세이상
01월,1,2,0,3,1,1,0
02월,0,1,3,1,2,1,0
03월,0,2,1,0,0,0,0
04월,4,7,3,4,1,0,1
05월,2,8,2,1,1,0,1
06월,1,8,4,1,2,0,1
07월,1,12,5,8,3,2,2
08월,5,9,6,3,0,1,4
09월,7,7,7,7,2,0,3
10월,6,6,7,4,1,1,2
11월,1,7,3,3,2,1,2
12월,1,10,2,3,5,1,4
